"question_id","answer","description","option1","option2","option3","option4"
"1","3","最先发现了白色光组成的是","爱迪生","爱因斯坦","牛顿","伽利略"
"2","4","最早的温度计是","电阻温度计","光测温度计","湿度温度计","空气温度计"
"3","3","遵义会议批评揭发了第几次反围剿的错误？","第四次","第六次","第五次","第三次"
"4","1","最早期的热气球是用来做什么的？","空中监视","天气预报","空中旅行","空中测试"
"5","1","最低的盆地是哪个？","四川盆地","塔里木盆地","陵南盆地","新疆盆地"
"6","3","紫土地是指我国哪个地形区域的土地？","塔里木盆地","新疆盆地","四川盆地","黄土高坡"
"7","4","著名的四大名旦是梅兰芳、程砚秋、尚小云以及_","孟小冬","谭鑫培","王九龄","荀慧生"
"8","4","在俄罗斯一共有多少种语言呢？","132种","142种","152种","122种"
"9","2","在非洲和亚洲一共有多少种穿山甲？","10种","7种","8种","9种"
"10","2","在肺循环中，流出肺的血液将首先进入心脏的_____","大动脉","右心室","左心室","心血管"
"11","2","在哪一年，叶剑英被授予元帅军衔?","1958年","1955年","1956年","1957年"
"12","3","在美国北部联邦政府和南部邦联州之间进行的美国内战起始于那一年？","1863年","1864年","1861年","1862年"
"13","4","在泰国，百分之九十以上的人信仰_____","基督教","喇嘛教","道教","佛教"
"14","4","在我国，邮政汇票的每笔汇款最高金额为_____","50000元","100000元","1000000元","10000元"
"15","4","在我国最高星级的冰箱能降到零下几度？","21","30","35","18"
"16","2","在中国5月份的第二个星期日是什么节?","家庭日","母亲节","父亲节","亲子日"
"17","1","债券按期限的长短可分几种类型？","3","4","5","6"
"18","2","造有色玻璃，在原料里加入氧化钴，玻璃呈_____","绿色","蓝色","红色","紫色"
"19","3","在自然界中，冬虫夏草是生长过程中较少见的一种奇特药材，仅分布于青藏，云贵高原地区海拔多少米雪线的高山上？","4500—5500","6000—7000","3500-4500","2000—3000"
"20","4","在珍珠港战役中，美国共损失了几艘航母？","1艘","2艘","3艘","0艘"
"21","3","在野外作战时如果被有毒的昆虫蜇伤应用药物消毒，请问蒜汁对下面哪一种昆虫咬伤有疗效","蝎子","甲壳虫","蜈蚣","毒蛇"
"22","3","在野外如果吃了有毒的蘑菇，你应该立即_____","再吃点蘑菇","马上吃药","大量喝水","催吐"
"23","3","在亚洲最早建立战略导弹部队的是哪一个国家？","韩国","朝鲜","中国","日本"
"24","3","在食品旁边，或在肉上放一些什么，苍蝇就不会爬上去？","葱","生姜","花椒","大蒜"
"25","4","在什么时间，中华人民共和国民政部追认张自忠为革命烈士？","1983年","1984年","1985年","1982年"
"26","4","在伤口愈合时不宜食用_____","食醋","盐","糖","酱油"
"27","4","在哪一年铁木真在斡难河（今蒙古鄂嫩河）源召开忽里台大会，即蒙古国大汗位，号成吉思汗?","1306年","1406年","1506年","1206年"
"28","1","在哪一年麦克阿瑟宣誓就任美国陆军最高军职枣陆军参谋长，成为美国有史以来最年轻的陆军参谋长?","1930年","1940年","1950年","1960年"
"29","1","在欧美人眼里，蓝紫罗兰代表?","诚实","亲情","尊敬","天真"
"30","1","问下面哪一次中东战争是由阿拉伯国家首先进攻的？","第四次","第五次","第六次","第七次"
"31","1","在第一张报纸出现之前是哪个国家的人最先在大字报纸上读新闻？","德国","美国","英国","韩国"
"32","4","造纸产生的黑液污染是很严重，每生产1吨纸浆会排出几吨黑液？","8吨","6吨","4吨","10吨"
"33","2","在中国现代文坛上，以诗歌为主的作家是_____","鲁迅","艾青","郭沫若","老舍"
"34","1","在中国，重庆市巫山县发现的巫山人化石，距今有多少万年？","200","300","400","500"
"35","2","空气在约－218℃（55K）时变成雪花状的固体，颜色是_____","透明色","淡蓝色","紫红色","白色"
"36","3","在狭窄的坡路上双方车辆相遇时应该_____","两车并行而过","都不过","下坡车让上坡车先行","上坡车让下坡车先行"
"37","4","在我国每年什么时候是进行海水浴最理想的时间？","5—6月","8—10月","12—1月","7-9月"
"38","2","正常人体体细胞有多少条染色体？","43条","46条","45条","44条"
"39","3","直升机停在半空中时，它的旋翼是_____","转动一阵子停下来","不会动","仍在转动","暂时停止"
"40","3","中国第一个开发的海底油田位置在_____","南海","青海","渤海","黄海"
"41","3","中国历史上第一个王朝时代是_____","周","秦","夏","商"
"42","4","中国气象部门以多长时间内的降水量来区分雨的大小？","12时间","6时间","3时间","24时间"
"43","2","中国早在什么时候就已开始养蚕、缫丝了？","1000到2000年前","4000到5000年前","3000到4000年前","2000到3000年前"
"44","2","盅碗舞是哪个民族的舞蹈?","维吾尔族","蒙古族","傣族","羌族"
"45","4","世界上最低的地方是？","琼州海峡","北美洲峡谷","东非大峡谷","马里亚纳海沟"
"46","2","《全唐诗》是哪个时期的人编辑的？","元朝","清朝","唐朝","明朝"
"47","4","荷兰是国花是（）？","桂花","番石榴花","紫藤花","郁金香"
"48","2","四川民族众多，其中有我国唯一的（）族聚居区。","藏","羌","侗","傣"
"49","2","乐山大佛历经（）年方才建成。","150年","90年","100年","120年"
"50","3","杜甫草堂是杜甫流寓成都时的居所，下面哪首是杜甫在成都创作的诗歌是（）？","《 画鹰》","《龙门》","《春夜喜雨》","《望岳》"
"51","1","都江堰工程的修建时期为（）时期。","战国","秦朝","三国","唐朝"
"52","1","德国人是名副其实的“大块吃肉、大口喝酒”的民族--吃猪肉喝啤酒。据统计，德国人每人每年的猪肉消耗量为_________公斤，居世界首位。","65","75","85","95"
"53","2","世界上最古老的花城是我国唐朝时的长安城，当时有花3000余种，您知道那时的长安城是现在的什么地方吗？","南京","西安","北京","杭州"
"54","4","有关资料显示，一粒纽扣电池可使600吨水受到污染，相当于一个人一生的饮水量。请问一节一号电池烂在地里，会使多少平方米的土壤永久失去利用价值？","2","3","4","1"
"55","4","在格拉芙的职业生涯中一共获得了22项大满贯赛事冠军，并且占据世界头号排名长达_________周之久。","477","577","677","377"
"56","4","奥运会史上第一个点燃奥林匹克圣火的女性是谁？","诺玛","郭晶晶","福原爱","巴西利奥"
"57","2","“分，分，司机的命根”，根据《北京机动车驾驶员违章扣分标准》，你知道在北京醉酒后驾驶机动车要扣多少分吗？","6","12","10","8"
"58","4","世界上有许多形形色色的博物馆，其中“活马博物馆”在哪国？","德国","荷兰","英国","法国"
"59","4","新婚夫妇都讲究度“蜜月”，据说度蜜月的风俗起源于德国的古条顿人，男女举行婚礼后要到风景优美的地方，且每天都要喝蜜糖水或是蜜酿成的酒，连喝多少天不得中断，以示幸福生活的开始？","40","50","60","30"
"60","2","“都一处”是以做烧麦闻名京城的百年老店，原是做小本生意的“王记酒铺”，经_________皇帝更名“都一处”并亲笔赐匾后生意红火，名声大噪。","嘉庆","乾隆","康熙","雍正"
"61","4","_________是第一个发现琥珀的国家，波罗的海附近的国家如瑞典、德国、波兰、乌克兰等国皆产琥珀，其他如中国、缅甸、中国尼加、意大利、罗马尼亚等国也产有各具特色的琥珀。","瑞典","波兰","法国","丹麦"
"62","2","号称“布鲁塞尔第一公民”的“撒尿小男孩”铜像，已拥有_________件各式各样的服装。","190","160","170","180"
"63","3","我国第一例成功的断肢再植手术是在哪家医院做成的？","北京军医院","南京第一医院","上海第六人民医院","上海第七人民医院"
